"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2019",178,3.1,3.2,-13.9,35,1.0,1.0,-9.1
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2020",180,3.0,3.3,-3.2,36,1.0,1.1,0.0
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2021",184,3.0,3.3,0.0,21,0.6,0.6,-40.0
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2022",213,3.4,3.8,13.3,25,0.7,0.7,16.7
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2023",167,2.6,3.0,-23.5,34,1.0,1.0,42.9
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2024",157,2.5,2.8,-3.8,36,1.0,1.0,0.0
"Total","04-22 Neoplasms (C00-D48)","2000",10492,258.6,202.7,-1.0,2756,86.6,79.6,-2.9
"Total","04-22 Neoplasms (C00-D48)","2001",10608,255.9,204.5,-1.0,2785,85.4,80.2,-1.4
"Total","04-22 Neoplasms (C00-D48)","2002",10522,249.3,202.3,-2.6,2759,83.2,79.3,-2.6
"Total","04-22 Neoplasms (C00-D48)","2003",10705,250.3,205.4,0.4,2807,83.1,80.6,-0.1
"Total","04-22 Neoplasms (C00-D48)","2004",10768,246.1,206.0,-1.7,2812,82.3,80.6,-1.0
"Total","04-22 Neoplasms (C00-D48)","2005",10856,242.0,206.9,-1.7,3019,85.8,86.3,4.3
"Total","04-22 Neoplasms (C00-D48)","2006",11046,240.8,209.8,-0.5,2821,78.5,80.4,-8.5
"Total","04-22 Neoplasms (C00-D48)","2007",11097,236.4,209.8,-1.8,2874,78.4,81.7,-0.1
"Total","04-22 Neoplasms (C00-D48)","2008",11214,233.9,211.1,-1.1,2908,77.1,82.2,-1.7
"Total","04-22 Neoplasms (C00-D48)","2009",11310,230.7,211.8,-1.4,2968,76.9,83.7,-0.3
"Total","04-22 Neoplasms (C00-D48)","2010",11879,237.2,221.5,2.8,3021,77.9,85.1,1.3
"Total","04-22 Neoplasms (C00-D48)","2011",11897,232.4,220.8,-2.0,2902,75.0,82.0,-3.7
"Total","04-22 Neoplasms (C00-D48)","2012",12070,230.9,222.9,-0.6,2748,72.0,78.0,-4.0
"Total","04-22 Neoplasms (C00-D48)","2013",12224,229.3,224.7,-0.7,2640,70.1,75.2,-2.6
"Total","04-22 Neoplasms (C00-D48)","2014",12270,225.2,224.7,-1.8,2479,66.3,71.0,-5.4
"Total","04-22 Neoplasms (C00-D48)","2015",12481,224.6,227.8,-0.3,2513,67.9,72.3,2.4
"Total","04-22 Neoplasms (C00-D48)","2016",12854,226.3,233.9,0.8,2498,67.6,72.1,-0.4
"Total","04-22 Neoplasms (C00-D48)","2017",12949,223.6,235.1,-1.2,2441,66.5,70.7,-1.6
"Total","04-22 Neoplasms (C00-D48)","2018",12902,218.8,233.9,-2.1,2369,65.2,68.9,-2.0
